Australian Bureau of Statistics,,,,,,
"cat.no.1292.0.55.005 Australian and New Zealand Standard Industrial Classification (ANZSIC), 2006 - Correspondence Tables",,,,,,
"Table 6. CORRESPONDENCES, ANZSIC 2006 - ISIC Rev. 4",,,,,,
,,,,,,
ANZSIC 2006,,,ISIC Rev. 4,,,
A,"Agriculture, Forestry and Fishing",,,,,
A,Agriculture,,,,,
A,Nursery and Floriculture Production,,,,,
C,Meat and Meat Product Manufacturing,,,,,
C,1111,Meat Processing,1010p,Processing and preserving of meat,,
C,,,1075p,Manufacture of prepared meals and dishes,,
C,1112,Poultry Processing,1010p,Processing and preserving of meat,,
C,,,1075p,Manufacture of prepared meals and dishes,,
C,1113,Cured Meat and Smallgoods Manufacturing,1010p,Processing and preserving of meat,,
C,,,1075p,Manufacture of prepared meals and dishes,,
C,Seafood Processing,,,,,
C,1120,Seafood Processing,0311p,Marine fishing,,
C,,,1020p,"Processing and preserving of fish, crustaceans and molluscs",,
C,,,1075p,Manufacture of prepared meals and dishes,,
C,Dairy Product Manufacturing,,,,,
C,1131,Milk and Cream Processing,1050p,Manufacture of dairy products,,
C,1132,Ice Cream Manufacturing,1050p,Manufacture of dairy products,,
C,1133,Cheese and Other Dairy Product Manufacturing,1050p,Manufacture of dairy products,,
C,,,1079p,Manufacture of other food products n.e.c.,,
C,Fruit and Vegetable Processing,,,,,
C,1140,Fruit and Vegetable Processing,1030p,Processing and preserving of fruit and vegetables,,
C,,,1075p,Manufacture of prepared meals and dishes,,
C,,,1079p,Manufacture of other food products n.e.c.,,
C,Oil and Fat Manufacturing,,,,,
C,1150,Oil and Fat Manufacturing,1040,Manufacture of vegetable and animal oils and fats,,
C,,,1062p,Manufacture of starches and starch products,,
C,,,1073p,"Manufacture of cocoa, chocolate and sugar confectionery",,
C,Grain Mill and Cereal Product Manufacturing,,,,,
C,1161,Grain Mill Product Manufacturing,1061p,Manufacture of grain mill products,,
C,,,1062p,Manufacture of starches and starch products,,
C,,,1075p,Manufacture of prepared meals and dishes,,
C,,,1079p,Manufacture of other food products n.e.c.,,
C,,,1103p,Manufacture of malt liquors and malt,,
C,1162,"Cereal, Pasta and Baking Mix Manufacturing",1061p,Manufacture of grain mill products,,
C,,,1074,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",,
C,Bakery Product Manufacturing,,,,,
C,1171,Bread Manufacturing (Factory based),1061p,Manufacture of grain mill products,,
C,,,1071p,Manufacture of bakery products,,
C,1172,Cake and Pastry Manufacturing (Factory based),1071p,Manufacture of bakery products,,
C,1173,Biscuit Manufacturing (Factory based),1071p,Manufacture of bakery products,,
C,1174,Bakery Product Manufacturing (Non-factory based),1071p,Manufacture of bakery products,,
C,Sugar and Confectionery Manufacturing,,,,,
C,1181,Sugar Manufacturing,1072,Manufacture of sugar,,
C,1182,Confectionery Manufacturing,1073p,"Manufacture of cocoa, chocolate and sugar confectionery",,
C,Other Food Product Manufacturing,,,,,
C,1191,"Potato, Corn and Other Crisp Manufacturing",1030p,Processing and preserving of fruit and vegetables,,
C,,,1071p,Manufacture of bakery products,,
C,,,1079p,Manufacture of other food products n.e.c.,,
C,1192,Prepared Animal and Bird Feed Manufacturing,1080,Manufacture of prepared animal feeds,,
C,1199,Other Food Product Manufacturing n.e.c.,1030p,Processing and preserving of fruit and vegetables,,
C,,,1071p,Manufacture of bakery products,,
C,,,1075p,Manufacture of prepared meals and dishes,,
C,,,1079p,Manufacture of other food products n.e.c.,,
C,Beverage and Tobacco Product Manufacturing,,,,,
C,Beverage Manufacturing,,,,,
C,1211,"Soft Drink, Cordial and Syrup Manufacturing",1030p,Processing and preserving of fruit and vegetables,,
C,,,1079p,Manufacture of other food products n.e.c.,,
C,,,1102p,Manufacture of wines,,
C,,,1104,Manufacture of soft drinks; production of mineral waters and other bottled water,,
C,1212,Beer Manufacturing,1103p,Manufacture of malt liquors and malt,,
C,1213,Spirit Manufacturing,1101,"Distilling, rectifying and blending of spirits",,
C,1214,Wine and Other Alcoholic Beverage Manufacturing,1079p,Manufacture of other food products n.e.c.,,
C,,,1102p,Manufacture of wines,,
C,Cigarette and Tobacco Product Manufacturing,,,,,
C,1220,Cigarette and Tobacco Product Manufacturing,1200,Manufacture of tobacco products,,
C,"Textile, Leather, Clothing and Footwear Manufacturing",,,,,
C,Textile Manufacturing,,,,,
C,1311,Wool Scouring,1311p,Preparation and spinning of textile fibres,,
C,,,2023p,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",,
C,1312,Natural Textile Manufacturing,1311p,Preparation and spinning of textile fibres,,
C,,,1312p,Weaving of textiles,,
C,1313,Synthetic Textile Manufacturing,1311p,Preparation and spinning of textile fibres,,
C,,,1312p,Weaving of textiles,,
C,,,1399p,Manufacture of other textiles n.e.c.,,
C,"Leather Tanning, Fur Dressing and Leather Product Manufacturing",,,,,
C,1320,"Leather Tanning, Fur Dressing and Leather Product Manufacturing",1420p,Manufacture of articles of fur,,
C,,,1511,Tanning and dressing of leather; dressing and dyeing of fur,,
C,,,1512p,"Manufacture of luggage, handbags and the like, saddlery and harness",,
